P 277.0845, -314.7926, 0.0010,  0, 0, 0,  3,  Sheerie_(Berserker_Tomes)
P 255.0891, -287.3335, 0.0010,  0, 0, 127,  3,  Baddi_(GM_Berserker)
L -1118.1733, -278.9173, 76.5947,  -1118.1875, -299.7410, 76.5947,  0, 0, 0
L -1163.3999, -278.5000, 76.5947,  -1118.1733, -278.9173, 76.5947,  0, 0, 0
L -1178.1563, -266.7256, 76.5947,  -1163.3999, -278.5000, 76.5947,  0, 0, 0
L -1178.1563, -246.0614, 76.5947,  -1178.1563, -266.7256, 76.5947,  0, 0, 0
L -1163.3760, -231.2812, 76.5947,  -1178.1563, -246.0614, 76.5947,  0, 0, 0
L -1133.5577, -231.2812, 76.5947,  -1163.3760, -231.2812, 76.5947,  0, 0, 0
L -1091.5266, -237.2813, 76.5947,  -1133.5577, -231.2812, 76.5947,  0, 0, 0
L -1067.7672, -237.2812, 76.5947,  -1091.5266, -237.2813, 76.5947,  0, 0, 0
L -1105.5248, -665.3045, 76.5947,  -1085.4375, -680.3438, 76.5947,  0, 0, 0
L 200.5313, -555.4063, 0.6260,  138.3119, -555.4063, 0.6260,  127, 64, 0
L 200.5313, -565.4063, 4.6260,  200.5313, -544.8130, 0.6260,  0, 0, 0
L 155.0397, -565.4063, 4.6260,  200.5313, -565.4063, 4.6260,  0, 0, 0
L 143.2565, -558.4244, 4.6260,  155.0397, -565.4063, 4.6260,  0, 0, 0
L 138.3122, -555.4063, 0.6260,  143.2565, -558.4244, 4.6260,  0, 0, 0
L 138.3125, -502.1874, 0.6260,  138.3122, -555.4063, 0.6260,  0, 0, 0
L 138.3125, -502.1874, 0.6260,  200.5313, -502.1873, 0.6260,  127, 64, 0
L 153.0603, -491.1875, 4.6260,  138.3125, -502.1874, 0.6260,  0, 0, 0
L 200.5313, -491.1870, 4.6260,  153.0603, -491.1875, 4.6260,  0, 0, 0
L 200.5313, -502.1872, 0.6260,  200.5313, -491.1870, 4.6260,  0, 0, 0
L 200.5238, -515.5743, 0.6260,  200.5313, -502.1875, 0.6260,  0, 0, 0
L 212.1742, -520.1562, 0.6260,  200.5238, -515.5743, 0.6260,  0, 0, 0
L 214.0639, -520.1215, 0.6260,  212.1742, -520.1562, 0.6260,  0, 0, 0
L 214.2813, -436.9915, 0.6260,  214.0639, -520.1215, 0.6260,  0, 0, 0
L 246.2352, -411.0238, 0.6260,  214.2813, -436.9915, 0.6260,  0, 0, 0
L 246.2813, -340.0522, 0.6260,  246.2352, -411.0238, 0.6260,  0, 0, 0
L 244.0175, -336.4984, 0.6260,  246.2813, -340.0522, 0.6260,  0, 0, 0
L 220.3407, -320.6783, 0.6260,  244.0175, -336.4984, 0.6260,  0, 0, 0
L 219.5313, -331.5000, 0.6260,  220.3407, -320.6783, 0.6260,  0, 0, 0
L 192.9724, -331.4988, 0.6260,  219.5313, -331.5000, 0.6260,  0, 0, 0
L 192.5625, -333.7696, 0.6260,  192.9724, -331.4988, 0.6260,  0, 0, 0
L 212.5313, -354.9937, 0.6260,  192.5625, -333.7696, 0.6260,  0, 0, 0
L 212.5313, -375.6342, 0.6260,  212.5313, -354.9937, 0.6260,  0, 0, 0
L 199.8000, -383.4688, 0.6260,  212.5313, -375.6342, 0.6260,  0, 0, 0
L 180.0018, -383.4688, 0.6260,  199.8000, -383.4688, 0.6260,  0, 0, 0
L 182.2455, -379.5688, 0.6260,  180.0018, -383.4688, 0.6260,  0, 0, 0
L 179.3360, -377.4789, 0.6260,  182.2455, -379.5688, 0.6260,  0, 0, 0
L 175.6337, -382.0714, 0.6260,  179.3360, -377.4789, 0.6260,  0, 0, 0
L 177.3292, -383.4688, 0.6260,  175.6337, -382.0714, 0.6260,  0, 0, 0
L 165.7902, -375.4988, 0.6260,  177.3292, -383.4688, 0.6260,  0, 0, 0
L 154.8148, -383.4688, 0.6260,  165.7902, -375.4988, 0.6260,  0, 0, 0
L 136.0436, -383.4688, 0.6260,  154.8148, -383.4688, 0.6260,  0, 0, 0
L 131.6116, -380.7414, 0.6260,  136.0436, -383.4688, 0.6260,  0, 0, 0
L 139.5721, -376.5574, 0.6260,  131.6116, -380.7414, 0.6260,  0, 0, 0
L 136.8916, -371.3199, 0.6260,  139.5721, -376.5574, 0.6260,  0, 0, 0
L 128.3190, -375.6573, 0.6260,  136.8916, -371.3199, 0.6260,  0, 0, 0
L 130.4277, -380.0128, 0.6260,  128.3190, -375.6573, 0.6260,  0, 0, 0
L 123.3150, -375.6357, 0.6260,  130.4277, -380.0128, 0.6260,  0, 0, 0
L 123.3125, -354.9435, 0.6260,  123.3150, -375.6357, 0.6260,  0, 0, 0
L 135.3042, -333.9607, 0.6260,  123.3125, -354.9435, 0.6260,  0, 0, 0
L 135.2251, -331.6343, 0.6260,  135.3042, -333.9607, 0.6260,  0, 0, 0
L 129.3123, -331.5000, 0.6260,  135.2251, -331.6343, 0.6260,  0, 0, 0
L 129.3124, -320.8683, 0.6260,  129.3123, -331.5000, 0.6260,  0, 0, 0
L 126.0611, -320.4962, 0.6260,  129.3124, -320.8683, 0.6260,  0, 0, 0
L 125.5625, -331.7358, 0.6260,  126.0611, -320.4962, 0.6260,  0, 0, 0
L 102.0059, -377.9471, 0.6260,  125.5625, -331.7358, 0.6260,  0, 0, 0
L 84.6401, -433.6059, 0.6260,  102.0059, -377.9471, 0.6260,  0, 0, 0
L 47.8195, -468.4375, 0.6260,  84.6401, -433.6059, 0.6260,  0, 0, 0
L -16.1345, -468.4624, 0.6260,  47.8195, -468.4375, 0.6260,  0, 0, 0
L -30.2090, -486.4639, 0.6260,  -16.1345, -468.4624, 0.6260,  0, 0, 0
L -30.3031, -499.0913, 0.6260,  -30.2090, -486.4639, 0.6260,  0, 0, 0
L -0.3750, -501.1633, 15.2095,  -30.3031, -499.0913, 0.6260,  0, 0, 0
L 17.7405, -506.1291, 17.6260,  -0.3750, -501.1633, 15.2095,  0, 0, 0
L 41.5840, -552.8522, 17.6260,  17.7405, -506.1291, 17.6260,  0, 0, 0
L 34.6912, -617.1047, 17.6260,  41.5840, -552.8522, 17.6260,  0, 0, 0
L 18.3441, -658.8596, 17.6260,  34.6912, -617.1047, 17.6260,  0, 0, 0
L -0.3750, -692.4354, 15.2095,  18.3441, -658.8596, 17.6260,  0, 0, 0
L -30.0722, -704.3438, 0.6260,  -0.3750, -692.4354, 15.2095,  0, 0, 0
L -116.8617, -704.3438, 16.3406,  -30.0722, -704.3438, 0.6260,  0, 0, 0
L -145.9534, -686.3437, 25.6260,  -116.8617, -704.3438, 16.3406,  0, 0, 0
L -198.1267, -686.4153, 40.6670,  -145.9534, -686.3437, 25.6260,  0, 0, 0
L -256.5424, -744.6216, 56.2654,  -198.1267, -686.4153, 40.6670,  0, 0, 0
L -615.1238, -551.4063, 0.6260,  -615.3116, -519.5476, 0.6260,  0, 127, 0
L -658.5177, -551.4063, 0.6260,  -615.1238, -551.4063, 0.6260,  0, 127, 0
L -670.6364, -551.4063, 0.6260,  -658.2780, -551.4062, 0.6260,  0, 0, 0
L -801.3055, -373.9717, -65.2940,  -765.5124, -331.2500, -65.6505,  0, 0, 0
L -801.3125, -448.6440, -42.0358,  -801.3055, -373.9717, -65.2940,  0, 0, 0
L -765.5266, -480.4531, -40.5088,  -801.3125, -448.6440, -42.0358,  0, 0, 0
L -662.4178, -485.5722, 0.6260,  -765.5266, -480.4531, -40.5088,  0, 0, 0
L -659.2949, -518.8790, 0.6260,  -662.4178, -485.5722, 0.6260,  0, 0, 0
L -670.1733, -519.1563, 0.6260,  -659.2949, -518.8790, 0.6260,  0, 0, 0
L -703.8020, -538.3250, 0.6260,  -670.1733, -519.1563, 0.6260,  0, 0, 0
L -741.3438, -567.9732, 0.6260,  -703.8020, -538.3250, 0.6260,  0, 0, 0
L -741.3431, -601.7067, 0.6260,  -741.3438, -567.9732, 0.6260,  0, 0, 0
L -782.2892, -645.1249, 0.6260,  -741.3431, -601.7067, 0.6260,  0, 0, 0
L -791.3125, -645.1249, 0.6260,  -781.3182, -645.0478, 0.6260,  0, 0, 0
L -741.5470, -728.0171, 0.6260,  -740.4161, -730.2713, 0.6260,  0, 0, 0
L -742.3727, -721.5148, 0.6260,  -741.5518, -727.9726, 0.6260,  0, 0, 0
L -742.3948, -721.4838, 0.6260,  -783.2148, -675.3436, 0.6260,  0, 0, 0
L -671.1101, -647.0667, 0.6260,  -671.3186, -675.9119, 0.6260,  0, 0, 0
L -671.4452, -644.4194, 0.6260,  -671.1101, -647.0667, 0.6260,  0, 0, 0
L -704.0937, -601.4004, 0.6260,  -671.4452, -644.4194, 0.6260,  0, 0, 0
L -704.0940, -567.8443, 0.6260,  -704.0937, -601.4004, 0.6260,  0, 0, 0
L -671.0129, -551.5034, 0.6260,  -704.0940, -567.8443, 0.6260,  0, 0, 0
L -632.5259, -602.3718, 15.1203,  -671.0129, -551.5034, 0.6260,  0, 0, 0
L -615.0677, -602.3749, 15.1209,  -632.5259, -602.3718, 15.1203,  0, 0, 0
L -545.3048, -683.8328, 28.9686,  -615.0677, -602.3749, 15.1209,  0, 0, 0
L -523.8265, -726.1789, 46.5947,  -545.2892, -683.8120, 28.9598,  0, 0, 0
L -467.6524, -785.3125, 46.5947,  -523.8265, -726.1789, 46.5947,  0, 0, 0
L -301.8073, -784.2542, 47.0650,  -467.6524, -785.3125, 46.5947,  0, 0, 0
L -257.5680, -745.5195, 56.0569,  -301.8073, -784.2542, 47.0650,  0, 0, 0
L -362.9487, -726.1077, 46.5947,  -255.2712, -660.4557, 56.5238,  0, 0, 0
L -417.0214, -684.0557, 29.0624,  -362.9487, -726.1077, 46.5947,  0, 0, 0
L -432.1583, -603.3785, 16.0699,  -417.0214, -684.0557, 29.0624,  0, 0, 0
L -432.1962, -518.8298, 0.6378,  -432.1583, -603.3785, 16.0699,  0, 0, 0
L -444.1718, -485.9948, 0.6260,  -432.1962, -518.8298, 0.6378,  0, 0, 0
L -444.1875, -442.0148, 0.6260,  -444.1718, -485.9948, 0.6260,  0, 0, 0
L -422.7054, -320.2247, 30.9024,  -444.1875, -442.0148, 0.6260,  0, 0, 0
L -357.2187, -257.7457, 56.5947,  -422.7054, -320.2247, 30.9024,  0, 0, 0
L -503.4002, -122.8879, 9.4005,  -503.4375, -158.6330, 30.4689,  0, 0, 0
L -488.4999, -78.2170, 0.6773,  -503.4002, -122.8879, 9.4005,  0, 0, 0
L -437.4469, -33.0835, 0.6260,  -488.4999, -78.2170, 0.6773,  0, 0, 0
L -437.4185, 17.9674, 0.6260,  -437.4469, -33.0835, 0.6260,  0, 0, 0
L -419.6113, 59.5585, 0.6260,  -437.4185, 17.9674, 0.6260,  0, 0, 0
L -395.4803, 104.8456, 16.5659,  -419.6113, 59.5585, 0.6260,  0, 0, 0
L -395.4688, 140.9467, 0.6055,  -395.4803, 104.8456, 16.5659,  0, 0, 0
L -424.4687, 171.0891, 0.6260,  -395.4688, 140.9467, 0.6055,  0, 0, 0
L -424.4687, 185.5625, 0.6260,  -424.4687, 171.0891, 0.6260,  0, 0, 0
L -399.9106, -231.8965, 56.5947,  -395.1800, -232.4712, 56.5947,  127, 127, 127
L -401.3575, -245.0003, 56.5947,  -399.9106, -231.8965, 56.5947,  127, 127, 127
L -361.4406, -249.1975, 56.5947,  -401.3575, -245.0003, 56.5947,  127, 127, 127
L -360.9110, -244.8048, 56.5947,  -361.4406, -249.1975, 56.5947,  127, 127, 127
L -398.3244, -220.0964, 56.5947,  -394.0384, -220.1652, 56.5947,  127, 127, 127
L -397.3508, -207.0938, 56.5947,  -398.3244, -220.0964, 56.5947,  127, 127, 127
L -357.6394, -211.5307, 56.5947,  -397.3508, -207.0938, 56.5947,  127, 127, 127
L -360.9495, -245.1313, 56.5947,  -357.6394, -211.5307, 56.5947,  127, 127, 127
L -392.5565, -211.6102, 56.5947,  -394.0436, -219.9430, 56.5947,  127, 127, 127
L -396.4193, -241.3053, 56.5947,  -395.2459, -232.1759, 56.5947,  127, 127, 127
L -365.4024, -244.7450, 56.5947,  -396.4193, -241.3053, 56.5947,  127, 127, 127
L -362.4653, -215.2800, 56.5947,  -365.4024, -244.7450, 56.5947,  127, 127, 127
L -392.7747, -211.8932, 57.2197,  -362.4653, -215.2800, 57.2197,  127, 127, 127
L -424.4156, 217.5377, 14.6260,  -426.6435, 217.2812, 15.7360,  127, 127, 127
L -424.4685, 215.4511, 13.9499,  -424.4156, 217.5377, 14.6260,  127, 127, 127
L -452.4375, 217.2812, 31.2701,  -425.8458, 217.3265, 15.2556,  127, 127, 127
L -425.2082, 237.5313, 14.8716,  -452.4375, 237.5313, 31.2701,  127, 127, 127
L -402.2188, 216.4880, 14.4436,  -425.2082, 237.5313, 14.8716,  127, 127, 127
L -402.2187, 194.1808, 4.6260,  -402.2188, 216.4880, 14.4436,  127, 127, 127
L -424.4687, 215.8342, 14.1323,  -424.4687, 187.7629, 2.6260,  127, 127, 127
L -402.2187, 193.8599, 4.6260,  -424.4688, 193.8282, 4.6260,  127, 127, 127
L -402.2187, 194.2273, 4.6260,  -401.9560, 187.2946, 2.6260,  127, 127, 127
L -401.9655, 188.2721, 2.6260,  -402.0374, 185.5269, 0.6260,  127, 127, 127
L -424.4688, 188.5625, 2.6260,  -401.9754, 188.5388, 2.6260,  127, 127, 127
L -424.4687, 188.5625, 2.6260,  -424.4687, 185.9953, 2.6260,  127, 127, 127
L -402.1087, 185.5625, 0.6260,  -424.4688, 185.5625, 0.6260,  127, 127, 127
L -401.4688, 188.0322, 0.6260,  -402.1087, 185.5625, 0.6260,  127, 127, 127
L -396.1133, 182.6694, 0.6260,  -401.4688, 188.0322, 0.6260,  127, 127, 127
L -338.3461, 182.9361, 0.6260,  -396.1133, 182.6694, 0.6260,  127, 127, 127
L -332.5000, 189.2263, 0.6260,  -338.3461, 182.9361, 0.6260,  127, 127, 127
L -332.5000, 192.0934, 0.6260,  -332.5000, 189.2263, 0.6260,  127, 127, 127
L -329.5000, 195.0970, 0.7376,  -332.5000, 191.7553, 0.6260,  127, 127, 127
L -329.7997, 243.2736, 0.6532,  -329.5000, 194.9715, 0.7401,  127, 127, 127
L -332.5000, 243.2811, 0.6260,  -329.7997, 243.2736, 0.6532,  127, 127, 127
L -332.8939, 246.4555, 0.6260,  -332.5000, 243.2812, 0.6260,  127, 127, 127
L -338.5000, 252.0614, 0.6260,  -332.8939, 246.4555, 0.6260,  127, 127, 127
L -338.0698, 275.1498, 0.6260,  -338.5000, 252.0614, 0.6260,  127, 127, 127
L -329.6082, 293.4592, 0.7144,  -338.5000, 274.7196, 0.6260,  127, 127, 127
L -250.5457, 282.5642, 23.7055,  -329.6082, 293.4592, 0.7144,  127, 127, 127
L -186.9800, 296.4818, 36.5576,  -250.5481, 282.5648, 23.7050,  0, 0, 0
L -186.2284, 296.1327, 36.3182,  -186.9800, 296.4818, 36.5576,  0, 0, 0
L -86.4286, 250.6976, 0.6260,  -186.2284, 296.1327, 36.3182,  0, 0, 0
L -36.3241, 273.2719, 0.6260,  -86.4286, 250.6976, 0.6260,  0, 0, 0
L -17.6250, 303.1879, 0.6260,  -36.3241, 273.2719, 0.6260,  0, 0, 0
L -17.6250, 371.4688, 0.6260,  -17.6250, 303.1879, 0.6260,  0, 0, 0
L -17.6250, 371.4688, 0.6260,  10.4129, 371.4687, 0.6260,  0, 0, 0
L -22.2131, 220.2330, 0.6260,  -23.7811, 219.7503, 0.6260,  0, 0, 0
L 11.8096, 266.1331, 0.6260,  12.0826, 265.6711, 0.6260,  125, 125, 125
L 21.9844, 234.1383, 0.6260,  17.2128, 232.4048, 0.6260,  125, 125, 125
L 11.9738, 265.8828, 0.6260,  21.9844, 234.1383, 0.6260,  125, 125, 125
L 3.1871, 263.8188, 0.6260,  1.6076, 263.2977, 0.6260,  125, 125, 125
L 2.9222, 263.7313, 0.6260,  11.7630, 266.2412, 0.6260,  125, 125, 125
L 1.0805, 262.9903, 0.6260,  2.8159, 263.6962, 0.6260,  125, 125, 125
L 2.4928, 259.4734, 0.6260,  1.0805, 262.9903, 0.6260,  125, 125, 125
L 9.5324, 262.0392, 0.6260,  2.4928, 259.4734, 0.6260,  125, 125, 125
L 9.5331, 262.0370, 0.6260,  10.3443, 259.5751, 0.6260,  125, 125, 125
L -7.5969, 256.8759, 0.6260,  -8.6294, 260.0930, 0.6260,  125, 125, 125
L -8.0899, 258.2306, 0.6260,  -7.3920, 256.4156, 0.7270,  125, 125, 125
L -8.1707, 223.6135, 0.6260,  -9.1090, 226.9656, 0.6260,  125, 125, 125
L 21.0481, 233.8072, 0.6260,  -8.1707, 223.6135, 0.6260,  125, 125, 125
L -19.3794, 256.4348, 0.6260,  -8.8885, 226.2922, 0.6260,  125, 125, 125
L -8.6279, 259.9472, 0.6260,  -19.3794, 256.4348, 0.6260,  125, 125, 125
L 17.5276, 236.4984, 0.6260,  9.7810, 261.2867, 0.6260,  125, 125, 125
L -6.2324, 228.7784, 0.6260,  17.5276, 236.4984, 0.6260,  125, 125, 125
L -14.5163, 253.8540, 0.6260,  -6.2324, 228.7784, 0.6260,  125, 125, 125
L -7.4963, 256.3033, 0.7270,  -14.5163, 253.8540, 0.6260,  125, 125, 125
L -14.5163, 253.8540, 0.6260,  -6.2324, 228.7784, 0.6260,  125, 125, 125
L -357.2188, -204.8065, 56.5947,  -357.2188, -257.5632, 56.5947,  0, 0, 0
L -330.4079, -158.6330, 30.4689,  -357.2188, -204.8065, 56.5947,  0, 0, 0
L -345.0987, -123.9150, 9.5839,  -330.4079, -158.6330, 30.4689,  0, 0, 0
L -345.2500, -78.5091, 0.7342,  -345.0987, -123.9150, 9.5839,  0, 0, 0
L -354.0217, -34.0536, 0.6260,  -345.2500, -78.5091, 0.7342,  0, 0, 0
L -354.2188, 18.0068, 0.6260,  -354.0217, -34.0536, 0.6260,  0, 0, 0
L -345.2500, 60.5492, 0.7906,  -354.2188, 18.0068, 0.6260,  0, 0, 0
L -345.2500, 101.5516, 12.0093,  -345.2500, 60.5492, 0.7906,  0, 0, 0
L -345.2500, 101.5516, 12.0093,  -345.2500, 101.5516, 12.0093,  0, 0, 0
L -330.0045, 141.3033, 0.5950,  -345.2500, 101.5516, 12.0093,  0, 0, 0
L -251.7339, 194.8247, 23.8244,  -330.0045, 141.3033, 0.5950,  0, 0, 0
L -188.5442, 208.9527, 35.8397,  -251.7339, 194.8247, 23.8244,  0, 0, 0
L -86.9201, 200.3136, 0.6260,  -188.5442, 208.9527, 35.8397,  0, 0, 0
L -22.7809, 220.0582, 0.6260,  -87.0372, 200.2889, 0.6603,  0, 0, 0
L 18.7515, 220.2860, 0.6260,  -22.4286, 220.1699, 0.6260,  0, 0, 0
L 40.5330, 272.8342, 0.6260,  18.7495, 220.2812, 0.6260,  0, 0, 0
L 17.7602, 302.3338, 0.6260,  40.5330, 272.8342, 0.6260,  0, 0, 0
L 17.5773, 329.7873, 0.6260,  17.7602, 302.3338, 0.6260,  0, 0, 0
L 119.5625, 330.2492, 0.6260,  17.5773, 329.7873, 0.6260,  0, 0, 0
L 78.0867, 371.4688, 0.6260,  78.4188, 371.9781, 0.6260,  0, 0, 0
L 78.0867, 371.4688, 0.6260,  -17.6250, 371.4688, 0.6260,  0, 0, 0
L 119.5625, 372.3972, 0.6260,  119.5625, 372.3972, 0.6260,  0, 0, 0
L 119.5625, 370.9299, 0.6260,  119.5625, 330.2500, 0.6260,  0, 0, 0
L -359.2508, 272.6250, 14.2367,  -359.2508, 272.6250, 14.2367,  0, 0, 0
L -339.1465, 274.5000, 4.6260,  -365.8939, 274.5022, 14.6260,  127, 127, 127
L -340.1954, 274.5000, 4.6260,  -337.9486, 274.8676, 0.6260,  127, 127, 127
L -366.0290, 274.5449, 14.6260,  -366.2187, 300.4385, 30.0147,  127, 127, 127
L -366.2187, 300.4385, 30.0147,  -375.0905, 321.5000, 32.6260,  127, 127, 127
L -375.0905, 321.5000, 32.6260,  -375.2174, 342.5000, 34.6260,  127, 127, 127
L -375.0888, 321.5000, 32.6260,  -398.2498, 321.5000, 32.6260,  100, 50, 0
L -398.4688, 342.5000, 34.6260,  -398.3752, 321.7633, 34.5790,  100, 50, 0
L -398.2498, 321.5000, 32.6260,  -398.2498, 321.5000, 32.6260,  100, 50, 0
L -398.2507, 321.5000, 32.6260,  -388.4811, 300.9709, 32.6260,  127, 127, 127
L -388.4811, 300.9709, 32.6260,  -388.4811, 300.9709, 32.6260,  127, 127, 127
L -388.4811, 300.9709, 32.6260,  -388.4688, 275.0305, 14.7455,  127, 127, 127
L -388.4688, 275.0305, 14.7455,  -365.6885, 252.2814, 14.1001,  127, 127, 127
L -365.6885, 252.2814, 14.1001,  -337.9785, 251.5401, 0.6260,  127, 127, 127
L -365.4334, 274.3671, 13.9783,  -365.3810, 252.2812, 13.9533,  100, 50, 0
L -366.2176, 300.5000, 30.0517,  -388.4688, 300.5000, 30.0517,  100, 50, 0
L -398.2499, 321.5000, 32.6260,  -415.4688, 332.0884, 37.6260,  127, 127, 127
L -416.0990, 332.2500, 40.5947,  -436.8795, 331.6721, 40.5947,  127, 127, 127
L -415.9856, 332.2500, 40.5947,  -414.6042, 331.5752, 37.6260,  127, 127, 127
L -415.4688, 332.0882, 37.6260,  -415.4688, 353.1581, 37.6260,  100, 50, 0
L -415.4688, 353.1581, 37.6260,  -398.4688, 342.5000, 34.6260,  127, 127, 127
L -398.4688, 342.5000, 34.6260,  -375.2187, 342.5000, 34.6260,  127, 127, 127
L -375.2187, 342.5000, 34.6260,  -375.0905, 321.5000, 32.6260,  127, 127, 127
L -445.4375, 326.5358, 40.5947,  -445.4375, 360.1235, 40.5947,  100, 50, 0
L -445.4375, 360.1235, 40.5947,  -436.0211, 353.5320, 40.5947,  127, 127, 127
L -436.0211, 353.5320, 40.5947,  -415.5159, 353.1884, 39.6820,  127, 127, 127
L -437.1947, 331.4872, 40.5947,  -445.4375, 326.5366, 40.5947,  127, 127, 127
L -437.3036, 331.4911, 40.5947,  -437.2371, 331.4576, 40.5947,  127, 127, 127
L -436.4673, 331.9195, 40.5947,  -438.4077, 330.7552, 40.5947,  127, 127, 127
L -452.4375, 237.4212, 31.2701,  -452.4375, 217.2812, 31.2701,  100, 50, 0
L -476.4375, 232.1139, 32.6260,  -476.4375, 250.2769, 32.6260,  100, 50, 0
L -497.4375, 250.5313, 34.6260,  -476.2201, 250.1592, 32.6260,  100, 50, 0
L -504.2643, 268.5313, 37.6260,  -484.0690, 268.5313, 37.6260,  100, 50, 0
L -484.0690, 268.5313, 37.6260,  -483.9698, 268.2760, 37.6260,  100, 50, 0
L -479.2851, 289.5000, 40.5947,  -511.2614, 289.5000, 40.5947,  100, 50, 0
L -446.4061, 325.7824, 42.5947,  -479.7899, 289.4085, 40.5947,  100, 50, 0
L -446.1215, 326.0928, 42.5947,  -444.3448, 327.1929, 40.5947,  100, 50, 0
L -425.3375, 300.8801, 44.5947,  -452.8575, 269.4243, 44.5947,  100, 50, 0
L -444.9857, 269.2813, 46.5947,  -422.3039, 295.9131, 46.5947,  100, 50, 0
L -419.3029, 290.9113, 48.5947,  -439.8939, 266.3924, 48.5947,  100, 50, 0
L -414.2923, 279.9337, 52.5947,  -428.9332, 263.3712, 52.5947,  100, 50, 0
L -432.9581, 265.3058, 50.5947,  -416.2825, 283.9469, 50.5947,  100, 50, 0
L -414.2187, 263.2813, 54.5947,  -414.5139, 280.3769, 52.5947,  0, 0, 0
L -414.2923, 279.9336, 52.5947,  -419.3029, 290.9113, 48.5947,  127, 127, 127
L -419.3029, 290.9113, 48.5947,  -425.6254, 301.2234, 44.5947,  127, 127, 127
L -425.6254, 301.2234, 44.5947,  -446.3373, 325.9537, 42.5947,  127, 127, 127
L -436.3694, 331.9782, 40.5947,  -437.0628, 331.5621, 40.5947,  127, 127, 127
L -452.4375, 237.5313, 31.2701,  -476.4375, 250.2769, 32.6260,  127, 127, 127
L -476.4375, 250.2769, 32.6260,  -477.3050, 251.1217, 37.6260,  127, 127, 127
L -477.3050, 251.1217, 37.6260,  -484.0682, 268.5313, 37.6260,  127, 127, 127
L -484.0682, 268.5313, 37.6260,  -479.2866, 289.5000, 40.5947,  127, 127, 127
L -479.2866, 289.5000, 40.5947,  -479.4301, 288.9017, 40.5947,  127, 127, 127
L -452.4375, 217.2809, 31.2701,  -476.4375, 232.1137, 32.6260,  127, 127, 127
L -476.4375, 232.1137, 32.6260,  -497.4375, 232.2809, 34.6260,  127, 127, 127
L -497.4375, 232.2809, 34.6260,  -497.4375, 250.5313, 34.6260,  127, 127, 127
L -497.4375, 250.5313, 34.6260,  -504.2643, 268.5313, 37.6260,  127, 127, 127
L -504.2643, 268.5313, 37.6260,  -511.2615, 289.5000, 40.5947,  127, 127, 127
L -511.2615, 289.5000, 40.5947,  -511.4063, 325.7434, 42.5947,  127, 127, 127
L -511.4063, 325.7434, 42.5947,  -483.5797, 360.4688, 42.5947,  127, 127, 127
